Timestamp, MAC Address, RSSI, Device ID, Sensor Value
2025-04-13T16:58:06.341898,d8:3a:dd:37:64:e3,-57,98765,25.0000
2025-04-13T17:40:18.805095,d8:3a:dd:37:64:e3,-67,98765,25.0000
2025-04-13T17:41:02.261741,d8:3a:dd:37:64:e3,-68,98765,25.0000,Failed
2025-04-15T12:30:35.539593,d8:3a:dd:37:64:e3,-55,98765,25.0000,N/A
2025-04-15T12:35:00.087022,d8:3a:dd:37:64:e3,-60,98765,25.0000,N/A
2025-04-15T12:39:48.818271,d8:3a:dd:37:64:e3,-59,98765,25.0000,N/A
2025-04-15T13:13:01.772195,d8:3a:dd:37:64:e3,-71,98765,25.0000
2025-04-15T13:13:24.368124,d8:3a:dd:37:64:e3,-85,98765,25.0000,Failed
2025-04-15T13:15:09.271538,d8:3a:dd:37:64:e3,-79,98765,25.0000,N/A
2025-04-15T13:16:54.222107,d8:3a:dd:37:64:e3,-71,98765,25.0000,N/A
2025-04-15T13:29:30.374631,d8:3a:dd:37:64:e3,-67,98765,25.0000,Failed
2025-04-15T13:35:00.498568,d8:3a:dd:37:64:e3,-70,98765,25.0000,N/A
2025-04-15T13:43:59.730281,d8:3a:dd:37:64:e3,-70,98765,25.0000,Queued
2025-04-15T13:48:42.877939,d8:3a:dd:37:64:e3,-66,98765,25.0000,Queued
2025-04-15T14:14:10.825625,d8:3a:dd:37:64:e3,-66,98765,25.0000,Queued
2025-04-15T14:14:40.281853,d8:3a:dd:37:64:e3,-62,98765,25.0000,N/A
2025-04-15T14:19:44.587926,d8:3a:dd:37:64:e3,-65,98765,25.0000,N/A
2025-04-15T14:30:38.966108,d8:3a:dd:37:64:e3,-71,98765,25.0000,Queued
2025-04-15T14:40:58.624341,d8:3a:dd:37:64:e3,-61,98765,23.5000,Queued
2025-04-15T14:45:46.537242,7e:a1:db:7d:2d:8a,-81,N/A,N/A,Not Parsed
2025-04-15T14:45:46.556440,d8:3a:dd:37:64:e3,-64,98765,23.5000,Queued
2025-04-15T14:45:46.572977,b8:78:2e:2a:00:f7,-86,N/A,N/A,Not Parsed
2025-04-15T14:45:46.581928,f8:b9:5a:ac:f8:45,-69,N/A,N/A,No Manuf Data
2025-04-15T14:45:46.590401,53:96:d4:51:48:94,-68,N/A,N/A,Not Parsed
2025-04-15T14:45:46.598560,c8:29:2a:d9:48:2a,-94,N/A,N/A,No Manuf Data
2025-04-15T14:45:46.609213,d8:a3:5c:64:11:b3,-89,N/A,N/A,Not Parsed
2025-04-15T14:45:46.616755,32:de:b9:f6:48:73,-82,N/A,N/A,No Manuf Data
2025-04-15T14:45:46.626632,ac:f1:08:37:12:97,-77,N/A,N/A,No Manuf Data
2025-04-15T14:45:46.634332,a0:d0:5b:d0:24:6d,-92,N/A,N/A,Not Parsed
2025-04-15T14:45:46.641962,55:be:8c:39:20:ec,-77,N/A,N/A,Not Parsed
2025-04-15T14:45:46.649756,7f:e1:84:3b:c2:60,-91,N/A,N/A,No Manuf Data
2025-04-15T14:45:46.659309,41:51:95:7b:f9:3f,-96,N/A,N/A,No Manuf Data
2025-04-15T15:17:51.163634,61:2a:6c:ac:94:9c,-79,N/A,N/A,Not Parsed
2025-04-15T15:17:51.177807,d8:3a:dd:37:64:e3,-64,98765,23.5000,Queued
2025-04-15T15:17:51.196908,d8:a3:5c:64:11:b3,-86,N/A,N/A,Not Parsed
2025-04-15T15:17:51.207085,b8:78:2e:2a:00:f7,-83,N/A,N/A,Not Parsed
2025-04-15T15:17:51.224297,4e:f5:8e:1e:f9:d4,-76,N/A,N/A,Not Parsed
2025-04-15T15:17:51.237099,77:48:d7:68:d4:01,-65,N/A,N/A,Not Parsed
2025-04-15T15:17:51.244610,ac:f1:08:37:12:97,-74,N/A,N/A,No Manuf Data
2025-04-15T15:17:51.253275,00:36:6c:63:3c:b0,-78,N/A,N/A,No Manuf Data
2025-04-15T15:17:51.260665,f8:b9:5a:ac:f8:45,-63,N/A,N/A,No Manuf Data
2025-04-15T15:17:51.267779,54:ef:44:37:bc:10,-59,N/A,N/A,No Manuf Data
2025-04-15T15:20:39.673727,4a:0a:6e:34:88:e9,-79,N/A,N/A,Not Parsed
2025-04-15T15:20:39.686208,ac:f1:08:37:12:97,-73,N/A,N/A,No Manuf Data
2025-04-15T15:20:39.694737,f8:b9:5a:ac:f8:45,-71,N/A,N/A,No Manuf Data
2025-04-15T15:20:39.706678,00:36:6c:63:3c:b0,-81,N/A,N/A,No Manuf Data
2025-04-15T15:20:39.716756,40:45:47:b6:6c:2b,-67,N/A,N/A,Not Parsed
2025-04-15T15:20:39.725943,b8:78:2e:2a:00:f7,-77,N/A,N/A,Not Parsed
2025-04-15T15:20:39.735596,d8:3a:dd:37:64:e3,-68,98765,23.5000,Queued
2025-04-15T15:20:39.760289,5e:e4:8c:79:f6:0b,-83,N/A,N/A,Not Parsed
2025-04-15T15:20:39.766215,54:ef:44:37:bc:10,-55,N/A,N/A,No Manuf Data
2025-04-15T15:27:36.806561,40:45:47:b6:6c:2b,-71,N/A,N/A,Not Parsed
2025-04-15T15:27:36.819986,4e:fe:66:ee:50:36,-78,N/A,N/A,Not Parsed
2025-04-15T15:27:36.829349,d8:a3:5c:64:11:b3,-86,N/A,N/A,Not Parsed
2025-04-15T15:27:36.839532,b8:78:2e:2a:00:f7,-86,N/A,N/A,Not Parsed
2025-04-15T15:27:36.854574,ac:f1:08:37:12:97,-72,N/A,N/A,No Manuf Data
2025-04-15T15:27:36.870397,06:06:fb:65:9c:84,-75,N/A,N/A,No Manuf Data
2025-04-15T15:27:36.878820,f8:b9:5a:ac:f8:45,-66,N/A,N/A,No Manuf Data
2025-04-15T15:27:36.886539,5e:e4:8c:79:f6:0b,-76,N/A,N/A,Not Parsed
2025-04-15T15:27:36.893160,54:ef:44:37:bc:10,-52,N/A,N/A,No Manuf Data
2025-04-15T15:32:00.444417,76:45:fd:a3:f5:ec,-77,N/A,N/A,Not Parsed
2025-04-15T15:32:00.458858,40:45:47:b6:6c:2b,-69,N/A,N/A,Not Parsed
2025-04-15T15:32:00.466969,b8:78:2e:2a:00:f7,-79,N/A,N/A,Not Parsed
2025-04-15T15:32:00.474928,36:a9:08:f3:1a:5f,-67,N/A,N/A,No Manuf Data
2025-04-15T15:32:00.482959,f8:b9:5a:ac:f8:45,-63,N/A,N/A,No Manuf Data
2025-04-15T15:32:00.491228,d8:a3:5c:64:11:b3,-88,N/A,N/A,Not Parsed
2025-04-15T15:32:00.508447,5e:e4:8c:79:f6:0b,-72,N/A,N/A,Not Parsed
2025-04-15T15:32:00.517654,d8:3a:dd:37:64:e3,-63,98765,23.5000,Queued
2025-04-15T15:32:00.532405,ac:f1:08:37:12:97,-79,N/A,N/A,No Manuf Data
2025-04-15T15:32:00.542272,54:ef:44:37:bc:10,-74,N/A,N/A,No Manuf Data
2025-04-22T13:13:45.976879,d8:3a:dd:37:64:e3,-48,98765,23.5000,N/A
2025-04-22T13:14:20.551733,d8:3a:dd:37:64:e3,-47,98765,23.5000,N/A
2025-04-22T13:18:39.276294,d8:3a:dd:37:64:e3,-55,98765,23.5000,N/A
2025-04-22T13:19:54.324333,d8:3a:dd:37:64:e3,-51,98765,23.5000,N/A
2025-04-22T13:21:21.404684,d8:3a:dd:37:64:e3,-51,98765,23.0000,N/A
2025-05-06T12:53:43.697231,4a:dc:d7:c2:5a:ec,-69,N/A,N/A,Not Parsed
2025-05-06T12:53:43.712239,70:78:24:89:85:00,-77,N/A,N/A,Not Parsed
2025-05-06T12:53:43.720815,ac:f1:08:37:12:97,-79,N/A,N/A,No Manuf Data
2025-05-06T12:53:43.729179,b8:78:2e:2a:00:f7,-80,N/A,N/A,Not Parsed
2025-05-06T12:53:43.742688,2f:00:85:0b:7f:2e,-79,N/A,N/A,No Manuf Data
2025-05-06T12:53:43.750975,d8:a3:5c:64:11:b3,-89,N/A,N/A,Not Parsed
2025-05-06T12:53:43.760024,f8:b9:5a:ac:f8:45,-76,N/A,N/A,No Manuf Data
